日期,时间,纬度,经度,深度,震级,位置,Year
2016-04-11,13:45:08,24.68,122.04,50,4.5,台湾宜兰县海域,2016
2016-04-10,18:28:58,36.56,71.31,200,7.1,阿富汗,2016
2016-04-07,11:32:52,-13.82,166.68,30,6.6,瓦努阿图群岛,2016
2016-04-06,14:58:50,-14.03,166.6,30,6.8,瓦努阿图群岛,2016
2016-04-03,16:23:52,-14.2,166.8,30,6.9,瓦努阿图群岛,2016
2016-04-02,13:50:00,57.11,-157.91,10,6.2,美国阿拉斯加半岛,2016
2016-04-02,03:24:57,-3.39,144.94,10,6.1,新几内亚北岸近海,2016
2016-04-01,10:39:06,33.22,136.51,10,6.3,日本本州西部南岸近海,2016
2016-03-21,11:29:32,40.27,98.22,20,4.7,甘肃酒泉市金塔县,2016
2016-03-21,06:50:20,54.32,162.81,50,6.5,堪察加东岸近海,2016
2016-03-19,19:26:30,18.1,-60.7,20,5.9,背风群岛,2016
2016-03-19,18:54:55,54.25,126.61,5.9,4.9,俄罗斯,2016
2016-03-19,09:35:12,51.5,-174.2,20,6.1,安德烈亚诺夫群岛,2016
2016-03-19,00:11:04,37.88,72.58,91.9,5.4,塔吉克斯坦,2016
2016-03-18,22:21:29,40.97,115.14,10,3.1,河北张家口市崇礼县,2016
2016-03-14,10:56:26,39.39,117.95,15.4,3.1,河北唐山市丰南区,2016
2016-03-13,02:06:45,51.62,-173.94,10,6.2,安德烈亚诺夫群岛,2016
2016-03-12,12:00:34,18.56,119.88,50,5,菲律宾群岛地区,2016
2016-03-05,19:20:22,21.71,101.35,6,4.6,云南西双版纳州勐腊县,2016
2016-03-02,20:49:47,-4.9,94.21,20,7.8,印尼苏门答腊岛海域,2016
2016-02-23,08:33:34,31.91,95.06,6,4.7,西藏昌都市丁青县,2016
2016-02-18,09:18:34,22.99,120.92,13,4.6,台湾台东县,2016
2016-02-18,09:09:40,23.04,120.88,10,5,台湾台东县,2016
2016-02-16,12:04:57,23.09,120.85,13,4.5,台湾高雄县,2016
2016-02-16,03:28:03,-49.11,164.4,10,6,新西兰奥克兰群岛地区,2016
2016-02-12,18:02:25,-9.58,119.33,30,6.2,印尼松巴岛地区,2016
2016-02-11,21:10:58,43.55,82.55,7.6,5,新疆伊犁州新源县,2016
2016-02-10,08:33:05,-30.51,-71.47,30,6.2,智利,2016
2016-02-09,08:47:00,23.92,121.77,6,5.3,台湾花莲县海域,2016
2016-02-09,00:19:11,-6.61,154.71,30,6.4,所罗门群岛,2016
2016-02-08,07:30:53,26.08,99.59,12.2,4.5,云南大理州洱源县,2016
2016-02-06,03:57:26,22.94,120.54,15,6.7,台湾高雄市,2016
2016-02-06,00:20:13,28.15,85.42,6.9,4.8,尼泊尔,2016
2016-02-02,22:19:22,25.41,123.45,200,6.2,台湾东北部海域,2016
2016-01-30,11:25:10,54,158.6,160,7,俄罗斯堪察加半岛,2016
2016-01-26,11:10:19,-5.41,153.19,20,6,新不列颠地区,2016
2016-01-25,12:22:02,35.69,-3.65,10,6.4,直布罗陀海峡,2016
